time,latitude,longitude,depth,mag,place
2010-10-31 05:39:07.480000+00:00,41.623,77.676,35.0,4.0,"70 km SE of Kadzhi-Say, Kyrgyzstan"
2010-10-31 19:03:56.070000+00:00,38.17,75.386,122.2,4.5,"124 km E of Murghob, Tajikistan"
2010-11-15 01:44:37.540000+00:00,38.655,69.443,35.0,4.1,"24 km WSW of Obigarm, Tajikistan"
2010-11-15 02:06:09.520000+00:00,38.58,69.63,28.4,4.8,"16 km SSW of Obigarm, Tajikistan"
2010-11-15 02:44:45.970000+00:00,38.55,69.762,43.3,4.7,"19 km SSE of Obigarm, Tajikistan"
2010-11-16 18:55:21.290000+00:00,38.497,69.581,9.0,4.4,"25 km ENE of Norak, Tajikistan"
2010-11-21 04:13:57.510000+00:00,39.557,73.315,14.2,4.3,"89 km E of Kyzyl-Eshme, Kyrgyzstan"
2010-11-22 14:16:30.960000+00:00,38.578,69.661,31.2,4.2,"16 km SSW of Obigarm, Tajikistan"
2010-11-24 03:44:05.530000+00:00,41.115,75.63,26.5,4.4,"15 km WSW of At-Bashi, Kyrgyzstan"
2010-11-25 09:27:31.240000+00:00,38.275,73.036,102.6,5.0,"82 km W of Murghob, Tajikistan"
2010-11-29 09:02:08.850000+00:00,40.251,72.579,35.0,4.0,"3 km WSW of Nookat, Kyrgyzstan"
2010-12-08 08:21:33.530000+00:00,39.358,72.86,10.0,5.5,"55 km ESE of Kyzyl-Eshme, Kyrgyzstan"
2010-12-08 11:39:22.530000+00:00,39.235,72.718,10.0,4.2,"53 km SE of Kyzyl-Eshme, Kyrgyzstan"
2010-12-19 00:40:58.190000+00:00,43.681,84.709,40.3,4.0,"121 km ENE of Xinyuan, China"
2010-12-19 11:51:54.910000+00:00,38.391,73.679,124.3,5.2,"35 km NW of Murghob, Tajikistan"
2011-01-01 01:56:05.990000+00:00,39.442,75.251,10.0,4.9,"63 km W of Kashgar, China"
2011-01-03 00:21:45.380000+00:00,44.935,81.064,39.2,4.2,"99 km N of Huocheng, China"
2011-01-08 02:23:09.180000+00:00,38.804,70.332,14.9,4.2,"25 km S of Rasht, Tajikistan"
2011-01-08 06:36:28.160000+00:00,42.139,84.275,35.1,4.7,"120 km ENE of Kuqa, China"
2011-01-10 10:58:13.340000+00:00,43.815,70.36,10.0,4.2,"57 km ENE of Zhangatas, Kazakhstan"
2011-01-19 03:47:06.540000+00:00,39.322,72.252,39.8,5.0,"25 km S of Daroot-Korgon, Kyrgyzstan"
2011-01-24 02:45:31.520000+00:00,38.413,72.791,110.0,6.0,"106 km WNW of Murghob, Tajikistan"
2011-01-28 14:17:59.140000+00:00,39.56,73.843,49.0,4.3,"130 km SE of Nookat, Kyrgyzstan"
2011-02-13 19:12:35.710000+00:00,39.54,73.856,59.8,4.9,"133 km SE of Nookat, Kyrgyzstan"
2011-02-14 07:35:36.410000+00:00,38.377,70.327,45.8,4.3,"39 km NE of M?’minobod, Tajikistan"
2011-02-18 22:15:26.530000+00:00,41.035,72.619,40.3,4.2,"10 km W of Bazar-Korgon, Kyrgyzstan"
2011-03-02 01:18:40.290000+00:00,39.034,75.332,43.3,4.8,"74 km SW of Kashgar, China"
2011-03-03 02:41:25.610000+00:00,38.729,75.266,10.0,4.5,"103 km SW of Kashgar, China"
